# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
"20115061-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,50mt-. ",,"125,00 ","M2 ","8,60 ","616,64 ","1.075,00","42,64%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"160,00 ","M2 ","8,63 ","828,00 ","1.381,00","40,04%"
"2012050-0LONA UNIBANNER FOSCA F.P. 300x500 380g 3,20mt-. ",,"460,00 ","M2 ","7,68 ","2.124,92 ","3.534,00","39,87%"
,"Total : ",,,,,,
,,"1.175,00 ",,"7,69","5.369,65 ","9.030,00","40,54%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"159,00 ","M2 ","5,75 ","548,65 ","915,00","40,04%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"63,50 ","M2 ","5,75 ","215,96 ","365,00","40,83%"
"2011056-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,37mt-. ",,"205,50 ","M2 ","5,63 ","688,96 ","1.156,00","40,40%"
"2011104-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,52mt-. ",,"76,00 ","M2 ","5,76 ","262,52 ","438,00","40,06%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"159,00 ","M2 ","5,64 ","530,48 ","897,00","40,86%"
"2011116-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,27mt-. ",,"127,00 ","M2 ","5,57 ","428,73 ","708,00","39,44%"
"2011117-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,52mt-. ",,"228,00 ","M2 ","5,59 ","771,89 ","1.273,40","39,38%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"795,00 ","M2 ","4,73 ","2.330,08 ","3.758,00","38,00%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","4,60 ","186,40 ","292,00","36,16%"
"2011023-0VINIL UNITRAMA INFLEX UT80GR POLIMERICO CC C/ 1,37mt (IV2200)-. ",,"68,50 ","M2 ","12,50 ","494,30 ","856,00","42,25%"
"2011044-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.06mt-. ",,"53,00 ","M2 ","11,51 ","363,10 ","610,00","40,48%"
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"53,00 ","M2 ","6,50 ","192,85 ","344,50","44,02%"
"2011018-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,06mt-. ",,"159,00 ","M2 ","7,29 ","703,04 ","1.159,00","39,34%"
"2011019-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","7,43 ","277,15 ","472,00","41,28%"
"2011012-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,06mt-. ",,"53,00 ","M2 ","8,58 ","253,35 ","455,00","44,32%"
"2011013-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,27mt-. ",,"127,00 ","M2 ","8,45 ","636,19 ","1.073,00","40,71%"
"2011015-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,52mt-. ",,"76,00 ","M2 ","7,89 ","379,19 ","600,00","36,80%"
,"Total : ",,,,,,
,,"2.529,50 ",,"6,08","9.262,84 ","15.371,90","39,74%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm 1.50 x 5.00mt T805-. ",,"2,00 ","UN ","595,00 ","743,55 ","1.190,00","37,52%"
"2013209-0ACM UNIBOND DEEP GREY 3mm 1.50 x 5.00mt 8872-. ",,"4,00 ","UN ","595,00 ","1.479,89 ","2.380,00","37,82%"
"2013206-0ACM UNIBOND GRAFITE ESCURO 3mm 1.50 x 5.00mt 8865-. ",,"2,00 ","UN ","590,00 ","734,55 ","1.180,00","37,75%"
"2013050-0ACM UNIBOND PRETO FOSCO 3mm 1.50 x 5.00mt UNI8866-. ",,"2,00 ","UN ","590,00 ","729,49 ","1.180,00","38,18%"
,"Total : ",,,,,,
,,"10,00 ",,"593,00","3.687,48 ","5.930,00","37,82%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0057/ ",0078
PB,PATOS,,,,,,
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013140-0ACM SIGNBOND AZUL CLARO 3mm 1.22 x 5.00mt T8850-. ",,"3,00 ","UN ","433,33 ","797,30 ","1.300,00","38,67%"
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"1,00 ","UN ","439,00 ","262,83 ","439,00","40,13%"
"2013118-0ACM SIGNBOND AZUL NOTURNO 3mm 1.22 x 5.00mt 8854-. ",,"4,00 ","UN ","420,00 ","1.052,47 ","1.680,00","37,35%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"4,00 ","UN ","406,25 ","1.018,26 ","1.625,00","37,34%"
"2013155-0ACM SIGNBOND GRAFITE ESCURO 3mm 1.22 x 5.00mt 8865-. ",,"12,00 ","UN ","400,00 ","3.181,47 ","4.800,00","33,72%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"1,00 ","UN ","400,00 ","265,28 ","400,00","33,68%"
"2013153-0ACM SIGNBOND VERDE TELECOM 3mm 1.22 x 5.00mt 8837-. ",,"1,00 ","UN ","436,00 ","263,66 ","436,00","39,53%"
,"Total : ",,,,,,
,,"26,00 ",,"410,77","6.841,27 ","10.680,00","35,94%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019101-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 03MM-. ",,"3,00 ","UN ","53,00 ","110,59 ","159,00","30,45%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"3,00 ","UN ","176,67 ","316,57 ","530,00","40,27%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"2,00 ","UN ","360,00 ","431,73 ","720,00","40,04%"
,"Total : ",,,,,,
,,"8,00 ",,"176,13","858,90 ","1.409,00","39,04%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260058-0ACRILICO UNIGLASS AZUL 2mm c/ 1,00mt X 2,00mt-. ",,"4,00 ","UN ","205,75 ","492,62 ","823,00","40,14%"
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","196,00 ","117,67 ","196,00","39,96%"
"20260018-0ACRILICO UNIGLASS CRISTAL 4mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","385,00 ","460,54 ","770,00","40,19%"
"20260032-0ACRILICO UNIGLASS PRETO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"3,00 ","UN ","218,00 ","391,66 ","654,00","40,11%"
"20260065-0ACRILICO UNIGLASS VERDE 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","200,00 ","116,16 ","200,00","41,92%"
"20260115-0ACRILICO UNIGLASS VERMELHO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","214,50 ","257,27 ","429,00","40,03%"
,"Total : ",,,,,,
,,"13,00 ",,"236,31","1.835,91 ","3.072,00","40,24%"
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260059-0ACRILICO BOLD ESPELHADO DOURADO 2MM 1,00 X 2,00MT-. ",,"3,00 ","UN ","330,00 ","586,70 ","990,00","40,74%"
"20260061-0ACRILICO BOLD ESPELHADO PRATA 2MM 1,00 X 2,00MT-. ",,"3,00 ","UN ","330,00 ","534,91 ","990,00","45,97%"
,"Total : ",,,,,,
,,"6,00 ",,"330,00","1.121,61 ","1.980,00","43,35%"
,2028.2023 CHAPA POLICARBONATO | CHAPAS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017548-0CHAPA POLICARBONATO MDP 1050x6000x4MM BRANCA-. ",,"3,00 ","UN ","220,00 ","421,96 ","660,00","36,07%"
"2017544-0CHAPA POLICARBONATO MDP 1050x6000x4MM BRONZE-. ",,"4,00 ","UN ","233,75 ","562,62 ","935,00","39,83%"
"2017547-0CHAPA POLICARBONATO MDP 2100x6000x4MM BRANCA-. ",,"1,00 ","UN ","440,00 ","281,30 ","440,00","36,07%"
,"Total : ",,,,,,
,,"8,00 ",,"254,38","1.265,87 ","2.035,00","37,79%"
,"TOTAL CIDADE: ","4.044,50 ",,,"33.154,17 ","54.781,70","39,48%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0058/ ",0078
PB,PEDRA LAVRADA,,,,,,
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015046-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 15 X 20 MM-. ",,"2,00 ","UN ","70,00 ","77,77 ","140,00","44,45%"
,"Total : ",,,,,,
,,"2,00 ",,"70,00","77,77 ","140,00","44,45%"
,"TOTAL CIDADE: ","2,00 ",,,"77,77 ","140,00","44,45%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0059/ ",0078
PB,PEDRAS DE FOGO,,,,,,
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","4,00 ","PC ","25,00 ","40,24 ","100,00","59,76%"
,"Total : ",,,,,,
,,"4,00 ",,"25,00","40,24 ","100,00","59,76%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12172-0 ","TINTA INKBANK CANON C1800/CL190 BLACK 135 ML-. ","5,00 ","UN ","10,00 ","20,43 ","50,00","59,14%"
"12167-0 ","TINTA INKBANK CANON C1800/CL190 CYAN 70ML (CX C/ 100)-. ","5,00 ","UN ","8,00 ","13,29 ","40,00","66,78%"
"12168-0 ","TINTA INKBANK CANON C1800/CL190 MAG 70ML (CX C/ 100)-. ","5,00 ","UN ","8,00 ","13,29 ","40,00","66,78%"
"12169-0 ","TINTA INKBANK CANON C1800/CL190 YELL 70ML (CX C/ 100)-. ","5,00 ","UN ","8,00 ","13,29 ","40,00","66,78%"
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","15,00 ","UN ","5,00 ","41,61 ","75,00","44,52%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","15,00 ","UN ","5,00 ","41,28 ","75,00","44,96%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","15,00 ","UN ","5,00 ","40,73 ","75,00","45,69%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","15,00 ","UN ","5,00 ","40,78 ","75,00","45,63%"
,"Total : ",,,,,,
,,"80,00 ",,"5,88","224,70 ","470,00","52,19%"
,"TOTAL CIDADE: ","84,00 ",,,"264,94 ","570,00","53,52%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0060/ ",0078
PB,PIANCO,,,,,,
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011056-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,37mt-. ",,"137,00 ","M2 ","5,47 ","453,20 ","750,00","39,57%"
,"Total : ",,,,,,
,,"137,00 ",,"5,47","453,20 ","750,00","39,57%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm 1.50 x 5.00mt T805-. ",,"1,00 ","UN ","600,00 ","355,41 ","600,00","40,77%"
"2013077-0ACM UNIBOND LARANJA ALTO BRILHO 3mm 1.50 x 5.00mt T801-. ",,"1,00 ","UN ","600,00 ","370,73 ","600,00","38,21%"
,"Total : ",,,,,,
,,"2,00 ",,"600,00","726,14 ","1.200,00","39,49%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"1,00 ","UN ","400,00 ","264,84 ","400,00","33,79%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"1,00 ","UN ","400,00 ","254,56 ","400,00","36,36%"
"2013134-0ACM SIGNBOND LARANJA ALTO BRILHO 3mm 1.22 x 5.00mt T801-. ",,"2,00 ","UN ","400,00 ","525,57 ","800,00","34,30%"
,"Total : ",,,,,,
,,"4,00 ",,"400,00","1.044,97 ","1.600,00","34,69%"
,"TOTAL CIDADE: ","143,00 ",,,"2.224,31 ","3.550,00","37,34%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0061/ ",0078
PBPICUI,,,,,,,
"10.115 ",CARTUCHO DE TONER | SAMSUNG,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3345-0 ","CART. DE TONER COMP. COM SAMSUNG D203 ML3320/3870/4070 15K CHMT(CX C/10)-. ","10,00 ","PC ","80,00 ","429,52 ","800,00","46,31%"
,"Total : ",,,,,,
,,"10,00 ",,"80,00","429,52 ","800,00","46,31%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"106,00 ","M2 ","5,80 ","365,76 ","614,80","40,51%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"63,50 ","M2 ","5,33 ","215,96 ","338,30","36,16%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"53,00 ","M2 ","5,25 ","166,20 ","278,25","40,27%"
,"Total : ",,,,,,
,,"222,50 ",,"5,53","747,92 ","1.231,35","39,26%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"3,00 ","UN ","400,00 ","763,69 ","1.200,00","36,36%"
"2013136-0ACM SIGNBOND ESP.MADEIRA ESCURO 3mm 1.22 x 5.00mt T824-. ",,"2,00 ","UN ","670,00 ","794,36 ","1.340,00","40,72%"
,"Total : ",,,,,,
,,"5,00 ",,"508,00","1.558,05 ","2.540,00","38,66%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"2,00 ","UN ","176,00 ","211,05 ","352,00","40,04%"
,"Total : ",,,,,,
,,"2,00 ",,"176,00","211,05 ","352,00","40,04%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-. ",,"5,00 ","UN ","86,00 ","239,21 ","430,00","44,37%"
,"Total : ",,,,,,
,,"5,00 ",,"86,00","239,21 ","430,00","44,37%"
,"TOTAL CIDADE: ","244,50 ",,,"3.185,75 ","5.353,35","40,49%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0062/ ",0078
PB,POCINHOS,,,,,,
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115073-0LONA UNIBANNER BRILHO F.P. 1000x1000 300g 3,20mt-. ",,"320,00 ","M2 ","5,80 ","1.169,89 ","1.855,00","36,93%"
"2012050-0LONA UNIBANNER FOSCA F.P. 300x500 380g 3,20mt-. ",,"320,00 ","M2 ","7,46 ","1.431,71 ","2.387,00","40,02%"
,"Total : ",,,,,,
,,"640,00 ",,"6,63","2.601,60 ","4.242,00","38,67%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011074-0VINIL INFLEX UT80GR POLIMERICO BRILHO C/ 1,27mt (IV2000)-. ",,"63,50 ","M2 ","10,46 ","414,17 ","664,00","37,63%"
,"Total : ",,,,,,
,,"63,50 ",,"10,46","414,17 ","664,00","37,62%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-. ",,"1,00 ","UN ","421,00 ","263,56 ","421,00","37,40%"
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"1,00 ","UN ","421,00 ","264,84 ","421,00","37,09%"
,"Total : ",,,,,,
,,"2,00 ",,"421,00","528,40 ","842,00","37,25%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019111-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 15MM-. ",,"5,00 ","UN ","269,00 ","806,78 ","1.345,00","40,02%"
,"Total : ",,,,,,
,,"5,00 ",,"269,00","806,78 ","1.345,00","40,02%"
,"TOTAL CIDADE: ","710,50 ",,,"4.350,95 ","7.093,00","38,66%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0063/ ",0078
PB,POMBAL,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3162-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-. ","10,00 ","PC ","30,00 ","166,44 ","300,00","44,52%"
,"Total : ",,,,,,
,,"10,00 ",,"30,00","166,44 ","300,00","44,52%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4063-0 ","CART. DE TONER COMP. COM BROTHER TN-B021 CHMT 2.6K-. ","5,00 ","PC ","35,00 ","50,20 ","175,00","71,31%"
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","6,00 ","PC ","25,00 ","60,36 ","150,00","59,76%"
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","6,00 ","PC ","28,00 ","87,43 ","168,00","47,96%"
,"Total : ",,,,,,
,,"17,00 ",,"29,00","197,99 ","493,00","59,84%"
"19.219 ",TINTA | EPSON/BULK INK/1L,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10725-0 ","TINTA BULK INK EPSON E850 BLACK 1LT (CX C/ 20)-. ","6,00 ","UN ","45,00 ","141,47 ","270,00","47,60%"
,"Total : ",,,,,,
,,"6,00 ",,"45,00","141,47 ","270,00","47,60%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115047-0LONA UNIBANNER BRILHO F.P. 300x500 380g 3,20mt-. ",,"320,00 ","M2 ","7,65 ","1.435,58 ","2.447,00","41,33%"
,"Total : ",,,,,,
,,"320,00 ",,"7,65","1.435,58 ","2.447,00","41,33%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"127,00 ","M2 ","5,71 ","431,91 ","725,00","40,43%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"53,00 ","M2 ","5,57 ","174,63 ","295,00","40,80%"
,"Total : ",,,,,,
,,"180,00 ",,"5,67","606,55 ","1.020,00","40,53%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013050-0ACM UNIBOND PRETO FOSCO 3mm 1.50 x 5.00mt UNI8866-. ",,"5,00 ","UN ","594,00 ","1.845,66 ","2.970,00","37,86%"
,"Total : ",,,,,,
,,"5,00 ",,"594,00","1.845,66 ","2.970,00","37,86%"
,2015.2012 PSAI | MAXPOLI,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017504-0CHAPA PS RES PSAI 1,40 X 5,00 MT BRANCA * 280 (3mm)-. ",,"1,00 ","UN ","483,00 ","295,70 ","483,00","38,78%"
,"Total : ",,,,,,
,,"1,00 ",,"483,00","295,70 ","483,00","38,78%"
,"TOTAL CIDADE: ","539,00 ",,,"4.689,40 ","7.983,00","41,26%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0064/ ",0078
PB,QUEIMADAS,,,,,,
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"53,00 ","M2 ","5,80 ","182,88 ","307,40","40,51%"
"2011024-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.37mt-. ",,"68,50 ","M2 ","11,99 ","490,04 ","821,32","40,34%"
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"159,00 ","M2 ","7,00 ","647,00 ","1.113,00","41,87%"
"2011006-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.27mt-. ",,"190,50 ","M2 ","7,00 ","752,15 ","1.333,50","43,60%"
,"Total : ",,,,,,
,,"471,00 ",,"7,59","2.072,08 ","3.575,22","42,04%"
,"TOTAL CIDADE: ","471,00 ",,,"2.072,08 ","3.575,22","42,04%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0065/ ",0078
PB,RIO TINTO,,,,,,
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","25,00 ","PC ","18,90 ","251,52 ","472,50","46,77%"
,"Total : ",,,,,,
,,"25,00 ",,"18,90","251,52 ","472,50","46,77%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"254,00 ","M2 ","4,90 ","745,59 ","1.244,60","40,09%"
"2011047-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,52mt-. ",,"152,00 ","M2 ","4,90 ","453,05 ","744,80","39,17%"
,"Total : ",,,,,,
,,"406,00 ",,"4,90","1.198,64 ","1.989,40","39,75%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"5,00 ","UN ","199,00 ","588,35 ","995,00","40,87%"
,"Total : ",,,,,,
,,"5,00 ",,"199,00","588,35 ","995,00","40,87%"
,2030.2057 ACESSÓRIOS SIGN | SELANTE/SILICONE NEOKLON,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"13796-0 ","SILICONE NEOKLON NEUTRO P/ ACM 260G BRANCO-. ","1,00 ","UN ","35,00 ","20,45 ","35,00","41,57%"
,"Total : ",,,,,,
,,"1,00 ",,"35,00","20,45 ","35,00","41,56%"
,"TOTAL CIDADE: ","437,00 ",,,"2.058,96 ","3.491,90","41,04%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0066/ ",0078
PB,SANTA LUZIA,,,,,,
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115061-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,50mt-. ",,"80,00 ","M2 ","8,25 ","380,97 ","660,00","42,28%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"160,00 ","M2 ","8,34 ","798,21 ","1.335,00","40,21%"
,"Total : ",,,,,,
,,"240,00 ",,"8,31","1.179,18 ","1.995,00","40,89%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011012-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,06mt-. ",,"53,00 ","M2 ","7,88 ","253,35 ","417,50","39,32%"
